layer,variant,op,start_cycle,end_cycle,core_id,tile_id,detail
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,1,0,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,2,0,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,3,0,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,4,1,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,5,1,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,6,1,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,7,1,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,8,2,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,9,2,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,10,2,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,11,2,4 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,MVM,0.0,8196.0,12,3,1 mapped MVMU block(s)
resnet50_stem_7x7,puma_fixed_adc,CHAIN_REDUCE,8196.0,8868.0,,,"13 core(s), 4 tile(s)"
resnet50_s2_b1_conv1_1x1,puma_fixed_adc,MVM,0.0,8196.0,0,0,1 mapped MVMU block(s)
resnet50_s2_b1_conv1_1x1,puma_fixed_adc,CHAIN_REDUCE,8196.0,8196.0,,,"1 core(s), 1 tile(s)"
resnet50_s2_b1_conv2_3x3,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
resnet50_s2_b1_conv2_3x3,puma_fixed_adc,MVM,0.0,8196.0,1,0,4 mapped MVMU block(s)
resnet50_s2_b1_conv2_3x3,puma_fixed_adc,MVM,0.0,8196.0,2,0,1 mapped MVMU block(s)
resnet50_s2_b1_conv2_3x3,puma_fixed_adc,CHAIN_REDUCE,8196.0,8276.0,,,"3 core(s), 1 tile(s)"
resnet50_s2_b1_conv3_1x1,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
resnet50_s2_b1_conv3_1x1,puma_fixed_adc,CHAIN_REDUCE,8196.0,8196.0,,,"1 core(s), 1 tile(s)"
resnet50_s2_b1_projection_1x1,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
