layer,variant,windows,blocks,cores,tiles,latency_cycles,energy_pj,speedup_vs_fixed_adc,energy_efficiency_vs_fixed_adc,avg_core_latency_cycles,bottleneck_core_cycles,movement_cycles,utilization,rearrange_vectors,column_swaps,row_swaps,split_mvmus
conv3x3_128_balanced70,puma_fixed_adc,9,36,9,3,78052.0,18069098.399999995,1.0,1.0,8196.0,8196.0,448.0,1.0,0,0,0,0
conv3x3_128_unbalanced,puma_fixed_adc,9,36,9,3,78052.0,18069098.399999995,1.0,1.0,8196.0,8196.0,448.0,1.0,0,0,0,0
conv3x3_256_unbalanced,puma_fixed_adc,36,144,36,9,365008.0,289111622.3999999,1.0,1.0,8196.0,8196.0,1912.0,1.0,0,0,0,0
conv3x3_128_balanced70,sparse_puma,9,36,9,3,63652.0,3606645.6,1.2262301263118205,5.009945640347916,6629.777777777777,6708.0,336.0,0.9883389650831511,0,0,0,0
conv3x3_128_unbalanced,sparse_puma,9,36,9,3,73876.0,3484857.6,1.0565271536087497,5.185032065585691,7120.444444444444,7732.0,448.0,0.9209059033166638,0,0,0,0
conv3x3_256_unbalanced,sparse_puma,36,144,36,9,337936.0,52818336.0,1.0801098432839353,5.473698043043233,6949.777777777777,7556.0,1800.0,0.9197694253279219,0,0,0,0
conv3x3_128_balanced70,samba,9,43,11,3,61903.2,3611037.6,1.2608718127657375,5.003852189187948,6578.545454545455,6596.0,252.0,0.9973537681239318,0,0,0,7
conv3x3_128_unbalanced,samba,9,43,11,3,68239.2,3498069.6,1.143800044549174,5.165448509086267,6696.363636363636,7108.0,108.0,0.9420882999948841,28,103,3,7
conv3x3_256_unbalanced,samba,36,144,36,9,273972.0,52852536.0,1.3322821310206883,5.470156103767659,6949.777777777777,7556.0,52.0,0.9197694253279219,0,0,0,0
